epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.7158,1.06796,2.26002,1.27545,0.76445,0.87785,0.89093,0.6579,0.90495,1.1124,1.16148,0.00332237,0.00332237,0.00332237
2,81.3629,0.92381,1.15866,1.09683,0.87392,0.88801,0.93601,0.73133,0.82593,0.68768,1.08921,0.00665241,0.00665241,0.00665241
3,120.193,0.94585,0.93992,1.11002,0.76684,0.28243,0.40349,0.21475,1.60866,2.93798,1.68435,0.00997915,0.00997915,0.00997915
4,158.773,0.97381,0.86915,1.1369,0.87294,0.87661,0.92709,0.68474,0.93463,0.70826,1.13376,0.00998515,0.00998515,0.00998515
5,197.275,0.91361,0.77297,1.10652,0.88645,0.8891,0.93559,0.74571,0.83238,0.61543,1.07677,0.0099802,0.0099802,0.0099802
6,235.662,0.87271,0.71589,1.09078,0.89867,0.89685,0.94337,0.66797,1.00267,0.65802,1.32562,0.00997525,0.00997525,0.00997525
7,275.245,0.8468,0.68474,1.08255,0.81894,0.91656,0.93555,0.71083,0.87218,0.64674,1.13187,0.0099703,0.0099703,0.0099703
8,314.038,0.82294,0.65685,1.0701,0.90196,0.92146,0.96669,0.7921,0.74489,0.50589,1.02743,0.00996535,0.00996535,0.00996535
9,353.09,0.80464,0.62713,1.06077,0.92385,0.90528,0.97261,0.7788,0.78781,0.52184,1.07445,0.0099604,0.0099604,0.0099604
10,392.145,0.7792,0.61198,1.05393,0.92775,0.93239,0.97401,0.78516,0.77855,0.47143,1.06906,0.00995545,0.00995545,0.00995545
11,430.654,0.77503,0.59804,1.04891,0.94683,0.94666,0.98071,0.82226,0.67198,0.41563,1.00505,0.0099505,0.0099505,0.0099505
12,468.882,0.76287,0.58819,1.03989,0.9394,0.94888,0.97968,0.83025,0.66004,0.40825,1.00037,0.00994555,0.00994555,0.00994555
13,507.118,0.75653,0.57733,1.03988,0.94381,0.94916,0.97136,0.80059,0.72326,0.42364,1.02403,0.0099406,0.0099406,0.0099406
14,545.592,0.74044,0.56352,1.03318,0.93976,0.94733,0.97995,0.81104,0.69684,0.40045,1.03158,0.00993565,0.00993565,0.00993565
15,583.323,0.7341,0.55996,1.02493,0.95678,0.95475,0.9797,0.8386,0.65393,0.37765,0.98999,0.0099307,0.0099307,0.0099307
16,621.305,0.7282,0.54923,1.02386,0.96098,0.95074,0.97923,0.84235,0.62609,0.37405,0.98184,0.00992575,0.00992575,0.00992575
17,660.802,0.71549,0.54234,1.02163,0.96287,0.95663,0.98046,0.84549,0.62453,0.36105,0.9679,0.0099208,0.0099208,0.0099208
18,699.599,0.72369,0.53631,1.0222,0.96312,0.95796,0.98395,0.84156,0.65219,0.35408,0.99612,0.00991585,0.00991585,0.00991585
19,738.433,0.7059,0.51663,1.01535,0.95965,0.96047,0.98203,0.85145,0.64142,0.36219,0.97653,0.0099109,0.0099109,0.0099109
20,776.891,0.70431,0.52454,1.01246,0.95613,0.95781,0.98362,0.83902,0.67535,0.38114,1.02696,0.00990595,0.00990595,0.00990595
21,814.829,0.70321,0.52698,1.01539,0.94976,0.95222,0.97927,0.85619,0.59757,0.36195,0.9506,0.009901,0.009901,0.009901
22,853.051,0.69498,0.51478,1.00735,0.96036,0.96086,0.98331,0.84348,0.66632,0.36002,1.02491,0.00989605,0.00989605,0.00989605
23,891.274,0.68896,0.50432,1.00808,0.95906,0.95984,0.98524,0.82279,0.67067,0.36621,1.03406,0.0098911,0.0098911,0.0098911
24,929.751,0.68177,0.49816,1.00533,0.96453,0.96993,0.98619,0.84626,0.64229,0.33752,1.00647,0.00988615,0.00988615,0.00988615
25,967.989,0.6854,0.5011,1.0064,0.9637,0.97202,0.98638,0.8668,0.60541,0.31748,0.96089,0.0098812,0.0098812,0.0098812
26,1007.47,0.67519,0.49624,1.00275,0.95779,0.9647,0.98297,0.87282,0.58736,0.32509,0.95266,0.00987625,0.00987625,0.00987625
27,1045.74,0.67555,0.49455,1.00279,0.96746,0.96664,0.9861,0.87082,0.58932,0.31418,0.95467,0.0098713,0.0098713,0.0098713
28,1084.42,0.67154,0.49089,1.00331,0.9688,0.9673,0.98744,0.87635,0.56943,0.3027,0.94398,0.00986635,0.00986635,0.00986635
29,1123.31,0.66493,0.48609,0.99902,0.97024,0.97181,0.98648,0.87055,0.58784,0.30534,0.95667,0.0098614,0.0098614,0.0098614
