Edge TPU Compiler version 16.0.384591198
Input: /home/linux/TP555_analise_sonolencia/runs/detect/train/weights/best_saved_model/best_full_integer_quant.tflite
Output: /home/linux/TP555_analise_sonolencia/runs/detect/train/weights/best_saved_model/best_full_integer_quant_edgetpu.tflite

Operator                       Count      Status

TRANSPOSE                      3          Operation is otherwise supported, but not mapped due to some unspecified limitation
TRANSPOSE                      1          Mapped to Edge TPU
PAD                            7          Mapped to Edge TPU
LOGISTIC                       1          More than one subgraph is not supported
LOGISTIC                       57         Mapped to Edge TPU
RESIZE_NEAREST_NEIGHBOR        2          Mapped to Edge TPU
MUL                            2          More than one subgraph is not supported
MUL                            57         Mapped to Edge TPU
CONV_2D                        63         Mapped to Edge TPU
CONV_2D                        1          More than one subgraph is not supported
RESHAPE                        3          More than one subgraph is not supported
RESHAPE                        2          Operation is otherwise supported, but not mapped due to some unspecified limitation
RESHAPE                        1          Mapped to Edge TPU
MAX_POOL_2D                    3          Mapped to Edge TPU
CONCATENATION                  1          More than one subgraph is not supported
CONCATENATION                  1          Operation is otherwise supported, but not mapped due to some unspecified limitation
CONCATENATION                  16         Mapped to Edge TPU
SUB                            2          More than one subgraph is not supported
QUANTIZE                       1          More than one subgraph is not supported
QUANTIZE                       2          Mapped to Edge TPU
STRIDED_SLICE                  2          Operation is otherwise supported, but not mapped due to some unspecified limitation
STRIDED_SLICE                  16         Mapped to Edge TPU
STRIDED_SLICE                  2          More than one subgraph is not supported
SOFTMAX                        1          More than one subgraph is not supported
ADD                            6          Mapped to Edge TPU
ADD                            2          More than one subgraph is not supported
